,Attrition,BusinessTravel,DailyRate,Department,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,1,Travel_Rarely,1102,Sales,1,2,94,3,2,Sales Executive,4,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5
1,0,Travel_Frequently,279,Research & Development,2,3,61,2,2,Research Scientist,2,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7
2,1,Travel_Rarely,1373,Research & Development,4,4,92,2,1,Laboratory Technician,3,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0
3,0,Travel_Frequently,1392,Research & Development,5,4,56,3,1,Research Scientist,3,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0
4,0,Travel_Rarely,591,Research & Development,7,1,40,3,1,Laboratory Technician,2,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2
5,0,Travel_Frequently,1005,Research & Development,8,4,79,3,1,Laboratory Technician,4,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6
6,0,Travel_Rarely,1324,Research & Development,10,3,81,4,1,Laboratory Technician,1,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0
7,0,Travel_Rarely,1358,Research & Development,11,4,67,3,1,Laboratory Technician,3,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0
8,0,Travel_Frequently,216,Research & Development,12,4,44,2,3,Manufacturing Director,3,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8
9,0,Travel_Rarely,1299,Research & Development,13,3,94,3,2,Healthcare Representative,3,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7
10,0,Travel_Rarely,809,Research & Development,14,1,84,4,1,Laboratory Technician,2,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3
11,0,Travel_Rarely,153,Research & Development,15,4,49,2,2,Laboratory Technician,3,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8
12,0,Travel_Rarely,670,Research & Development,16,1,31,3,1,Research Scientist,3,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3
13,0,Travel_Rarely,1346,Research & Development,18,2,93,3,1,Laboratory Technician,4,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2
14,1,Travel_Rarely,103,Research & Development,19,3,50,2,1,Laboratory Technician,3,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3
15,0,Travel_Rarely,1389,Research & Development,20,2,51,4,3,Manufacturing Director,1,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8
16,0,Travel_Rarely,334,Research & Development,21,1,80,4,1,Research Scientist,2,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5
17,0,Non-Travel,1123,Research & Development,22,4,96,4,1,Laboratory Technician,4,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0
18,0,Travel_Rarely,1219,Sales,23,1,78,2,4,Manager,4,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7
19,0,Travel_Rarely,371,Research & Development,24,4,45,3,1,Research Scientist,4,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2
20,0,Non-Travel,673,Research & Development,26,1,96,4,2,Manufacturing Director,3,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3
21,1,Travel_Rarely,1218,Sales,27,3,82,2,1,Sales Representative,1,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3
22,0,Travel_Rarely,419,Research & Development,28,1,53,3,3,Research Director,2,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11
23,0,Travel_Rarely,391,Research & Development,30,3,96,3,1,Research Scientist,4,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0
24,1,Travel_Rarely,699,Research & Development,31,2,83,3,1,Research Scientist,1,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3
